experiment_id,boronate/boronic ester smiles,bromide smiles,product_smiles,reaction_image,solvent,base,ligand,palladium source,temperature,comment,yield,round_id,raw_readout,internal_standard_redout
33A,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0,1,,
33B,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0,1,,
34A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0.02,1,,
34B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0.02,1,,
35A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0.22,1,,
35B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0.21,1,,
36A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0.03,1,,
36B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,dba,Pd2(dba)3,60,,0.04,1,,
,,,,,,,,,,,,,,
37A,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.91,1,,
37B,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.9,1,,
38A,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.18,1,,
38B,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.22,1,,
39A,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.06,1,,
39B,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.06,1,,
40A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.38,1,,
40B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.66,1,,
41A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.92,1,,
41B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.94,1,,
42A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,dppf,Pd(dppf)Cl2,60,,0.21,1,,
